PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Familysize
1,0,3,0,22.0,1,0,7.25,2,2,2
2,1,1,1,38.0,1,0,71.2833,0,3,2
3,1,3,1,26.0,0,0,7.925,2,1,1
4,1,1,1,35.0,1,0,53.1,2,3,2
5,0,3,0,35.0,0,0,8.05,2,2,1
6,0,3,0,28.0,0,0,8.4583,1,2,1
7,0,1,0,54.0,0,0,51.8625,2,2,1
8,0,3,0,2.0,3,1,21.075,2,0,5
9,1,3,1,27.0,0,2,11.1333,2,3,3
10,1,2,1,14.0,1,0,30.0708,0,3,2
11,1,3,1,4.0,1,1,16.7,2,1,3
12,1,1,1,58.0,0,0,26.55,2,1,1
13,0,3,0,20.0,0,0,8.05,2,2,1
14,0,3,0,39.0,1,5,31.275,2,2,7
15,0,3,1,14.0,0,0,7.8542,2,1,1
16,1,2,1,55.0,0,0,16.0,2,3,1
17,0,3,0,2.0,4,1,29.125,1,0,6
18,1,2,0,28.0,0,0,13.0,2,2,1
19,0,3,1,31.0,1,0,18.0,2,3,2
20,1,3,1,28.0,0,0,7.225,0,3,1
21,0,2,0,35.0,0,0,26.0,2,2,1
22,1,2,0,34.0,0,0,13.0,2,2,1
23,1,3,1,15.0,0,0,8.0292,1,1,1
24,1,1,0,28.0,0,0,35.5,2,2,1
25,0,3,1,8.0,3,1,21.075,2,1,5
26,1,3,1,38.0,1,5,31.3875,2,3,7
27,0,3,0,28.0,0,0,7.225,0,2,1
28,0,1,0,19.0,3,2,263.0,2,2,6
29,1,3,1,28.0,0,0,7.8792,1,1,1
30,0,3,0,28.0,0,0,7.8958,2,2,1
31,0,1,0,40.0,0,0,27.7208,0,4,1
32,1,1,1,28.0,1,0,146.5208,0,3,2
33,1,3,1,28.0,0,0,7.75,1,1,1
34,0,2,0,66.0,0,0,10.5,2,2,1
35,0,1,0,28.0,1,0,82.1708,0,2,2
36,0,1,0,42.0,1,0,52.0,2,2,2
37,1,3,0,28.0,0,0,7.2292,0,2,1
38,0,3,0,21.0,0,0,8.05,2,2,1
39,0,3,1,18.0,2,0,18.0,2,1,3
40,1,3,1,14.0,1,0,11.2417,0,1,2
41,0,3,1,40.0,1,0,9.475,2,3,2
42,0,2,1,27.0,1,0,21.0,2,3,2
43,0,3,0,28.0,0,0,7.8958,0,2,1
44,1,2,1,3.0,1,2,41.5792,0,1,4
45,1,3,1,19.0,0,0,7.8792,1,1,1
46,0,3,0,28.0,0,0,8.05,2,2,1
47,0,3,0,28.0,1,0,15.5,1,2,2
48,1,3,1,28.0,0,0,7.75,1,1,1
49,0,3,0,28.0,2,0,21.6792,0,2,3
50,0,3,1,18.0,1,0,17.8,2,3,2
51,0,3,0,7.0,4,1,39.6875,2,0,6
52,0,3,0,21.0,0,0,7.8,2,2,1
53,1,1,1,49.0,1,0,76.7292,0,3,2
54,1,2,1,29.0,1,0,26.0,2,3,2
55,0,1,0,65.0,0,1,61.9792,0,2,2
56,1,1,0,28.0,0,0,35.5,2,2,1
57,1,2,1,21.0,0,0,10.5,2,1,1
58,0,3,0,28.5,0,0,7.2292,0,2,1
59,1,2,1,5.0,1,2,27.75,2,1,4
60,0,3,0,11.0,5,2,46.9,2,0,8
61,0,3,0,22.0,0,0,7.2292,0,2,1
62,1,1,1,38.0,0,0,80.0,2,1,1
63,0,1,0,45.0,1,0,83.475,2,2,2
64,0,3,0,4.0,3,2,27.9,2,0,6
65,0,1,0,28.0,0,0,27.7208,0,2,1
66,1,3,0,28.0,1,1,15.2458,0,0,3
67,1,2,1,29.0,0,0,10.5,2,3,1
68,0,3,0,19.0,0,0,8.1583,2,2,1
69,1,3,1,17.0,4,2,7.925,2,1,7
70,0,3,0,26.0,2,0,8.6625,2,2,3
71,0,2,0,32.0,0,0,10.5,2,2,1
72,0,3,1,16.0,5,2,46.9,2,1,8
73,0,2,0,21.0,0,0,73.5,2,2,1
74,0,3,0,26.0,1,0,14.4542,0,2,2
75,1,3,0,32.0,0,0,56.4958,2,2,1
76,0,3,0,25.0,0,0,7.65,2,2,1
77,0,3,0,28.0,0,0,7.8958,2,2,1
78,0,3,0,28.0,0,0,8.05,2,2,1
79,1,2,0,0.83,0,2,29.0,2,0,3
80,1,3,1,30.0,0,0,12.475,2,1,1
81,0,3,0,22.0,0,0,9.0,2,2,1
82,1,3,0,29.0,0,0,9.5,2,2,1
83,1,3,1,28.0,0,0,7.7875,1,1,1
84,0,1,0,28.0,0,0,47.1,2,2,1
85,1,2,1,17.0,0,0,10.5,2,1,1
86,1,3,1,33.0,3,0,15.85,2,3,4
87,0,3,0,16.0,1,3,34.375,2,2,5
88,0,3,0,28.0,0,0,8.05,2,2,1
89,1,1,1,23.0,3,2,263.0,2,1,6
90,0,3,0,24.0,0,0,8.05,2,2,1
91,0,3,0,29.0,0,0,8.05,2,2,1
92,0,3,0,20.0,0,0,7.8542,2,2,1
93,0,1,0,46.0,1,0,61.175,2,2,2
94,0,3,0,26.0,1,2,20.575,2,2,4
95,0,3,0,59.0,0,0,7.25,2,2,1
96,0,3,0,28.0,0,0,8.05,2,2,1
97,0,1,0,71.0,0,0,34.6542,0,2,1
98,1,1,0,23.0,0,1,63.3583,0,2,2
99,1,2,1,34.0,0,1,23.0,2,3,2
100,0,2,0,34.0,1,0,26.0,2,2,2
101,0,3,1,28.0,0,0,7.8958,2,1,1
102,0,3,0,28.0,0,0,7.8958,2,2,1
103,0,1,0,21.0,0,1,77.2875,2,2,2
104,0,3,0,33.0,0,0,8.6542,2,2,1
105,0,3,0,37.0,2,0,7.925,2,2,3
106,0,3,0,28.0,0,0,7.8958,2,2,1
107,1,3,1,21.0,0,0,7.65,2,1,1
108,1,3,0,28.0,0,0,7.775,2,2,1
109,0,3,0,38.0,0,0,7.8958,2,2,1
110,1,3,1,28.0,1,0,24.15,1,1,2
111,0,1,0,47.0,0,0,52.0,2,2,1
112,0,3,1,14.5,1,0,14.4542,0,1,2
113,0,3,0,22.0,0,0,8.05,2,2,1
114,0,3,1,20.0,1,0,9.825,2,1,2
115,0,3,1,17.0,0,0,14.4583,0,1,1
116,0,3,0,21.0,0,0,7.925,2,2,1
117,0,3,0,70.5,0,0,7.75,1,2,1
118,0,2,0,29.0,1,0,21.0,2,2,2
119,0,1,0,24.0,0,1,247.5208,0,2,2
120,0,3,1,2.0,4,2,31.275,2,1,7
121,0,2,0,21.0,2,0,73.5,2,2,3
122,0,3,0,28.0,0,0,8.05,2,2,1
123,0,2,0,32.5,1,0,30.0708,0,2,2
124,1,2,1,32.5,0,0,13.0,2,1,1
125,0,1,0,54.0,0,1,77.2875,2,2,2
126,1,3,0,12.0,1,0,11.2417,0,0,2
127,0,3,0,28.0,0,0,7.75,1,2,1
128,1,3,0,24.0,0,0,7.1417,2,2,1
129,1,3,1,28.0,1,1,22.3583,0,1,3
130,0,3,0,45.0,0,0,6.975,2,2,1
131,0,3,0,33.0,0,0,7.8958,0,2,1
132,0,3,0,20.0,0,0,7.05,2,2,1
133,0,3,1,47.0,1,0,14.5,2,3,2
134,1,2,1,29.0,1,0,26.0,2,3,2
135,0,2,0,25.0,0,0,13.0,2,2,1
136,0,2,0,23.0,0,0,15.0458,0,2,1
137,1,1,1,19.0,0,2,26.2833,2,1,3
138,0,1,0,37.0,1,0,53.1,2,2,2
139,0,3,0,16.0,0,0,9.2167,2,2,1
140,0,1,0,24.0,0,0,79.2,0,2,1
141,0,3,1,28.0,0,2,15.2458,0,3,3
142,1,3,1,22.0,0,0,7.75,2,1,1
143,1,3,1,24.0,1,0,15.85,2,3,2
144,0,3,0,19.0,0,0,6.75,1,2,1
145,0,2,0,18.0,0,0,11.5,2,2,1
146,0,2,0,19.0,1,1,36.75,2,2,3
